WER ,,,,CER,,
file_name,annotated,generated,,file_name,annotated,generated
common_voice_bn_31593821,কবিতা-রচনা দিয়ে তাঁর সাহিত্য-জীবনের শুরু।,কবিতার রচনা দিয়ে তার সাহিত্য জীবনের শুরু,,common_voice_bn_36772067,কোবরা!,কুবড়া
common_voice_bn_35545133,চন্দ্রনাথবাবু স্বদেশীর কথা তুললেন।,চণ্ড্রনাপ বাবু স্বদেশির কথা তুললেন,,common_voice_bn_30677294,এরা খুব সম্ভবত কেঁচো ও লার্ভা খেয়ে জীবন ধারণ করে।,এ রকম সম্ভবগত কিছুও নারুনাখে জীবন ধারণ করেন
common_voice_bn_31625583,দলে তিনি মূলতঃ শীর্ষসারির ব্যাটসম্যানরূপে ডানহাতে ব্যাটিং করতেন।,দলে তিনি মূলত শীর্ষ সারির ব্যাটসম্যান রূপে ডান হাতে ব্যাটিং করতেন,,common_voice_bn_31553502,এছাড়াও দুইটি অর্ধ-শতকের ইনিংস ছিল তার।,এছাড়াও দ্বিতীয় অধ্য শতকের ইনিংস ছিল তার
common_voice_bn_31646361,ডানহাতে ব্যাটিংয়ের পাশাপাশি ডানহাতে ফাস্ট-মিডিয়াম বোলিংয়ে পারদর্শী ছিলেন তিনি।,ডান হাতে ব্যাটিংয়ের পাশাপাশি ডান হাতে ফাস্ট মিডিয়াম বোলিংয়ে পারদর্শী ছিলেন তিনি,,common_voice_bn_31555757,এটি শিশু ছোঁড়া প্রথার জন্য পরিচিত।,এটি শিশুছড়াব কথার জন্য পরিচিত
common_voice_bn_36772067,কোবরা!,কুবড়া,,common_voice_bn_31584102,বর্তমান চেয়ারম্যান- মো: তারেক হাসান,বর্তমান চেয়ারম্যান মুহাম্মদ তারেক হাসান
common_voice_bn_31641951,"এছাড়াও, ডানহাতে নিচেরসারিতে ব্যাটিংয়ের পাশাপাশি ডানহাতে ফাস্ট-মিডিয়াম বোলিংয়ে পারদর্শী ছিলেন তিনি।",এছাড়াও দান হাতে নিজ সারিতে ব্যাটিংয়ে পাশাপাশি ডানাতে ফার্স্ট মিডিয়াম বোলিংয়ে পারদর্শী ছিলেন তিনি,,common_voice_bn_31621419,তিনি স্তাগ-লুং-থাং বৌদ্ধবিহারে ঐ বিহারের প্রধান স্তাগ-লুং-থাং-পা-ব্ক্রা-শিস-দ্পালের নিকট অধ্যয়ন করেন ও উনিশ বছর বয়সে ভিক্ষুর শপথ গ্রহণ করেন।,তিনি স্থাক লুং তাঙক বৈদ্ধ বিহার ওই বিহারের প্রধান স্তাকলুং থাংপা বকরা শিশুতে ওপারে নিকট অধ্যয়ণ করা উনিশ বছর বয়সে বিক্ষুর শপথ গ্রহণ করেন
common_voice_bn_31526272,হাসপাতালটি ঢাকার তেজগাঁও-এ অবস্থিত।,হাসপাতালটি ঢাকা নেজ গাঙমে অবস্থিত,,common_voice_bn_36022273,আর কী জানতে চাও পুনামের সম্পর্কে?,এখন কি জানতে চাওপুনামের সং পার্কে
common_voice_bn_31598903,এসময় এটি দ্বি-সাপ্তাহিকে পরিবর্তিত হয়েছিল।,এ সময় এটি দি সাপ্তাহিককে পরিবর্তিত হয়েছিল,,common_voice_bn_31523129,তাদের এক পুত্র সিকান্দার খের।,তাদের এক পুত্র শিকানদার ক্ষেত
common_voice_bn_31621419,তিনি স্তাগ-লুং-থাং বৌদ্ধবিহারে ঐ বিহারের প্রধান স্তাগ-লুং-থাং-পা-ব্ক্রা-শিস-দ্পালের নিকট অধ্যয়ন করেন ও উনিশ বছর বয়সে ভিক্ষুর শপথ গ্রহণ করেন।,তিনি স্থাক লুং তাঙক বৈদ্ধ বিহার ওই বিহারের প্রধান স্তাকলুং থাংপা বকরা শিশুতে ওপারে নিকট অধ্যয়ণ করা উনিশ বছর বয়সে বিক্ষুর শপথ গ্রহণ করেন,,common_voice_bn_31543061,তিনি বর্তমানে বাংলাদেশ জাতীয় দলের টি-টোয়েন্টি অধিনায়কের দায়িত্ব পালন করছেন।,তিনি বর্তমানে বাংলাদেশ জাতীয় দলে টি টোয়েন্টি অভিম্যা্কেট ডায়িট্র পালন করছে
common_voice_bn_30995341,"পশ্চিমবঙ্গের উপর দিয়ে বয়ে যাওয়া নদীগুলির মধ্যে উত্তরবঙ্গের নদীগুলি হল তিস্তা,তোর্সা,জলডাকা ইত্যাদি।",পশ্চিমবাঙ্গের উপর দিয়ে বয়ে যাওয়া নদীগুলির মধ্যে উত্তরবঙ্গে নদীগুলি হলো তিস্তা তোরসা জল টাকা ইত্যাদি,,common_voice_bn_31529671,সে আইনের আশ্রয় নেয়।,সে আইনের আশ্রয় নেয়
